id,type,price,condition,manufacturer,model,region,location,year,length_width,draft,displacement,material,steering,keel_type,ballast,no_persons,headroom,no_cabins,no_beds,propulsion,engine_perf,fuel_type,fuel_cap,engine_hours,mainsail,genoa,spinnaker,ad_date,no_views,no_favs
485256,Sailing Yacht,"EUR 8.900,-",good condition,NA,EOL 30 - am Bodensee (D),Germany » Lake Constance » ,Sipplingen,1984,8.20 m x 3.15 m,1.40 m,2'800 kg,GRP,Tiller Steering,Long Keel,NA,6 Persons,180 cm,2 Cabins,4 beds,NA,1 x 15 HP / 11 kW,Diesel,NA,NA,14 m²,31 m²,NA,22.12.2021,601,30
488981,Keelboat,"EUR 52.000,-",good condition,Bianca Yachts,Bianca 36,Germany » Flensburger Förde » ,Winterlager Dänemark Grasten,1978,10.52 m x 3.05 m,1.80 m,NA,GRP,Wheel control,Fin Keel,NA,6 Persons,185 cm,NA,6 beds,NA,NA,Diesel,60 l,NA,NA,Roller Furling,NA,22.12.2021,689,16
424684,Classic Sailing Yacht,"EUR 44.900,-",very good condition,Västeras Hardplast Tillberga,"Used Boat, Classic Sailing Yacht, Sailing YachtVästeras Hardplast Tillberga Bacchant IV",Netherlands » Lake Ijssel » ,Lemmer,1967,10.76 m x 2.78 m,1.50 m,6'000 kg,GRP,Wheel control,Long Keel,NA,NA,NA,2 Cabins,5 beds,Inboard Direct-Drive,1 x 30 HP / 22 kW,Diesel,110 l,2'200 h,22 m²,NA,NA,22.12.2021,295,62
489228,Classic Sailing Yacht,"EUR 60.000,-",good condition,Waarschip,1076,Italy » Friuli Venezia Giulia » ,SantAndrea,1988,19.76 m x 3.30 m,1.70 m,5'000 kg,Wood,Tiller Steering,Fin Keel,2'300 kg,NA,NA,1 Cabin,2 beds,Inboard Direct-Drive,1 x 27 HP / 20 kW,Diesel,80 l,NA,27 m²,34 m² (Roller Furling),NA,22.12.2021,524,4
488230,Sailing Yacht,"CHF 52.500,-",As new,Schuchter,Esse 850,Switzerland » Lake of Zurich » ,Pfäffikon SZ,2011,8.50 m x 2.20 m,1.60 - 2.00 m,1'250 kg,GRP,Tiller Steering,Bulb Keel,NA,5 Persons,NA,NA,NA,"Outboard, four-stroke",1 x 6.0 HP / 4.4 kW,Unleaded,10 l,20 h,NA,NA,NA,22.12.2021,533,5
454499,Sailing Yacht,"EUR 260.000,-",As new,Dufour,460 grand large,Italy » Toscana » ,punta ala,2017,15.00 m x 4.50 m,2.40 m,11'000 kg,GRP,Wheel control,Bulb Keel,NA,12 Persons,300 cm,3 Cabins,6 beds,Saildrive,1 x 70 HP / 51 kW,Diesel,250 l,220 h,55 m² (Battened Mainsail),NA,NA,22.12.2021,196,68
489216,Cruising Yacht,"EUR 93.000,-",good condition,NA,Fantasi 37,Norway » ,Oslo,1981,11.20 m x 3.45 m,1.75 m,9'200 kg,GRP,Wheel control,Long Keel,4'000 kg,NA,190 cm,3 Cabins,7 beds,Inboard Direct-Drive,1 x 40 HP / 29 kW,Diesel,175 l,2'900 h,36 m² (Battened Mainsail),51 m² (Roller Furling),NA,22.12.2021,819,20
486301,Catamaran,"EUR 545.000,-",As new,NA,Nautitech 46 Open,Italy » Emilia Romagna » ,Ravenna,2017,13.71 m x 7.55 m,1.45 - 1.45 m,12'300 kg,GRP,Dual Wheel Control,Fin Keel,16'720 kg,12 Persons,200 cm,3 Cabins,7 beds,Saildrive,2 x 57 HP / 42 kW,Diesel,600 l,900 h,85 m² (Battened Mainsail),NA,NA,10.12.2021,895,24
487582,Sailing Yacht,"EUR 90.000,-",good condition,Vindö,50,Germany » Ostsee » ,Fehmarn,1975,10.65 m x 3.10 m,1.60 m,NA,NA,Wheel control,Long Keel,NA,NA,NA,2 Cabins,6 beds,Inboard Direct-Drive,1 x 42 HP / 31 kW,Diesel,60 l,235 h,28 m²,33 m² (Roller Furling),NA,03.12.2021,662,5
461768,Keelboat,NA,good condition,NA,Mälar 25,Austria » Attersee » ,Attersee,1951,10.00 m x 2.20 m,1.30 m,2'200 kg,Wood,Tiller Steering,Long Keel,NA,4 Persons,150 cm,1 Cabin,2 beds,NA,1 x 3.5 HP / 2.6 kW,NA,NA,NA,2074 m²,1585 m²,40 m²,22.12.2021,73,7
